"","Start","End","eDNA_Distance","GeographicDistance","TempDistance","OceanResistance","GeographicDistance_scaled","TempDistance_scaled","OceanResistance_scaled"
"38","CDOU","PROJ",0.448598130841122,164966.322086961,-4.33,0.168212525380908,0.274710627513973,-1.81149472994575,1.22630510742173
"39","CDOU","PVIC",0.476190476190476,31429.0214484969,-1.322,-0.015706306313937,-1.60792031043616,-0.553070677364499,-0.118500624615338
"40","CDOU","RED",0.473214285714286,63780.4032224433,-2.627,-0.0498578025777667,-1.15182518254405,-1.09902925070843,-0.368214737683663
"41","CDOU","SOMB",0.370786516853933,180031.249250817,-4.559,0.155760038259085,0.487098460883665,-1.90729895469346,1.13525311505518
"42","CDOU","STAFE",0.385416666666667,249386.427344821,-3.864,0.0313985511863054,1.46487922597728,-1.61653940797006,0.225927848474463
"43","CDOU","SUAR",0.528,287125.156382882,-3.139,0.0882768134221684,1.99692606612065,-1.31322908944566,0.641818991204249
"44","CDOU","TOR",0.333333333333333,150582.377636769,-3.802,0.0779010231893818,0.0719234010071081,-1.59060114624798,0.56595170751784
"45","CHAM","BAR",0.541284403669725,99633.5065436686,-3.17,0.123701995355675,-0.6463622054482,-1.3261982203067,0.900846233187165
"46","CHAM","CDOU",0.390977443609023,21444.4233102277,0.835999999999999,-0.0951036162143652,-1.74868482543108,0.34974817418814,-0.699049970641943
"47","CHAM","CMAR",0.517241379310345,113548.818633417,-3.461,0.0379899850143755,-0.450181835423212,-1.4479407067765,0.274124098486746
"48","CHAM","CORA",0.573770491803279,245462.026784971,-4.109,0.101674478809505,1.409552378186,-1.71903737767831,0.739782082002362
"49","CHAM","CUEV",0.490740740740741,190258.489336351,-2.999,0.099862718096636,0.63128378215954,-1.25465882104095,0.726534574015858
"50","CHAM","DAPH",0.415584415584416,212837.53110184,-3.248,0.0153539961577469,0.949606845256816,-1.35883022698933,0.108610826766813
"51","CHAM","EGAS",0.447368421052632,161489.167465168,-3.35,0.12569663753109,0.225689126886618,-1.40150285111276,0.915430961711928
"52","CHAM","ELI",0.473118279569892,62774.6024325936,0.137,0.101786588840561,-1.16600512833696,0.0573151912246115,0.740601825206435
"53","CHAM","GARD",0.525252525252525,275718.140314859,-2.926,0.085539421628174,1.83610806802815,-1.22411860965849,0.621803312866846
"54","CHAM","PCAL",0.518181818181818,186371.398030093,-3.937,0.0947447581034205,0.576482926392575,-1.64707961935252,0.689112294460319
"55","CHAM","PESP",0.352380952380952,46670.76800231,0.167999999999999,-0.0195696677407271,-1.39303964807883,0.0702843220856545,-0.146749339245596
"56","CHAM","PIN",0.517241379310345,168473.961291021,-3.838,-0.00701803014089263,0.324161904821192,-1.60566207240919,-0.0549723633091917
"57","CHAM","PLAZ",0.528985507246377,230324.800436299,-3.243,0.0139225958462155,1.19614525895781,-1.35673843168916,0.0981444959074428
"58","CHAM","PMAN",0.438461538461538,28432.7299304803,-0.681999999999999,0.080086542467871,-1.6501625235404,-0.285320878942956,0.581932120323345
"59","CHAM","PMOR",0.436363636363636,41788.4099211284,1.019,0.127522878596631,-1.46187193935502,0.4263078821743,0.928784349347056
"60","CHAM","PROJ",0.495327102803738,185406.413853906,-3.494,0.138661998600339,0.562878419966012,-1.46174655575761,1.01023306393921
