Isla Tortuga (lat -1.01  lon -90.88),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
-11,-90.2198,-1.11887,392.668,41.8143,116.688,406.908,-90.5914,-0.954141
Punta Espinosa (lat -0.27  lon -91.44),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-91.4269,-0.271389,17.4299,0.934922,5.14909,17.5423,-91.4277,-0.272181
-1,-91.3612,-0.413842,26.6366,3.98557,38.6176,27.2404,-91.3547,-0.403052
-2,-91.3632,-0.496672,38.152,6.94876,56.6386,40.1136,-91.3753,-0.473319
-3,-91.3737,-0.599768,51.9795,12.4983,64.3608,56.4629,-91.4116,-0.576352
-4,-91.3618,-0.723638,63.876,19.0125,78.0896,72.619,-91.3815,-0.70376
-5,-91.2967,-0.808639,74.8087,23.7372,78.945,88.1544,-91.2887,-0.777862
-6,-91.2018,-0.834439,86.7718,30.5335,93.5319,101.684,-91.2229,-0.810343
-7,-91.0956,-0.852634,100.97,35.3731,102.969,116.932,-91.16,-0.830324
-8,-90.9685,-0.865122,113.067,40.7967,116.698,131.19,-91.0409,-0.840489
-9,-90.8619,-0.887353,122.215,48.3295,107.258,141.894,-90.9339,-0.855726
-10,-90.7935,-0.93321,130.451,55.6114,103.823,150.661,-90.8231,-0.904622
-11,-90.7366,-0.980741,241.02,61.9557,117.548,264.177,-90.8021,-0.933276
Punta Vicente Roca (lat -0.05  lon -91.54),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-91.536,-0.05276,3.43668,0.955923,5.14915,4.88001,-91.536,-0.0527587
-1,-91.5054,-0.057046,8.20251,5.02126,54.9242,10.2646,-91.4744,-0.0874887
-2,-91.4819,-0.092986,12.9472,11.3716,60.9312,15.6996,-91.4361,-0.155669
-3,-91.4617,-0.130561,16.2702,17.5513,63.5052,20.1389,-91.4117,-0.218668
-4,-91.4486,-0.157436,20.2318,21.4622,76.3772,25.7245,-91.3906,-0.320643
-5,-91.4411,-0.192299,23.7695,25.5655,83.242,30.6751,-91.4082,-0.423355
-6,-91.4408,-0.224134,26.3989,30.1644,83.2408,35.2675,-91.3714,-0.502956
-7,-91.4236,-0.240382,28.7848,33.2935,90.1058,38.4913,-91.3396,-0.565209
-8,-91.4032,-0.247131,30.9854,35.208,85.8152,41.5322,-91.2894,-0.56837
-9,-91.385,-0.254954,32.9339,37.1887,82.3824,44.7087,-91.2021,-0.566671
-10,-91.3737,-0.268363,35.2846,40.0704,65.2186,47.9513,-91.1089,-0.599634
-11,-91.3677,-0.288661,68.6061,43.3873,68.6501,85.1768,-91.0609,-0.684843
Roca Redonda (lat -0.27  lon -91.63),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-91.6304,-0.266627,11.93,1.0627,7.72364,14.9099,-91.6304,-0.266626
-1,-91.5941,-0.367642,18.6213,9.68118,53.2071,22.1097,-91.5797,-0.339415
-2,-91.5537,-0.412379,28.4245,13.8697,42.0503,32.2181,-91.5199,-0.399892
-3,-91.5192,-0.493576,42.2405,17.7736,77.2337,46.2946,-91.5015,-0.471245
-4,-91.4984,-0.616148,56.3701,24.4336,76.3729,62.4327,-91.4789,-0.606316
-5,-91.4291,-0.722802,70.3406,31.7571,64.3568,80.6343,-91.3946,-0.708478
-6,-91.3144,-0.774101,81.8284,37.6794,66.0721,98.0522,-91.2821,-0.723009
-7,-91.2151,-0.803107,97.0531,48.3342,83.2333,116.327,-91.2029,-0.744464
