"","Start","End","dist"
"427","PIN","RED",101.875919795679
"428","PLAZ","RED",193.115405650053
"429","PMAN","RED",89.7206530440472
"430","PMOR","RED",119.296827615649
"431","PROJ","RED",130.349490274813
"432","PVIC","RED",39.8876522302147
"433","RED","RED",0
"434","SOMB","RED",146.066047628463
"435","STAFE","RED",222.173583216137
"436","SUAR","RED",285.407659738056
"437","TOR","RED",187.565426652275
"438","BAR","SOMB",107.713551736108
"439","CDOU","SOMB",180.857998901051
"440","CHAM","SOMB",201.187696507695
"441","CMAR","SOMB",88.9525983464229
"442","CORA","SOMB",99.2564959355789
"443","CUEV","SOMB",104.691688149642
"444","DAPH","SOMB",23.7455037684449
"445","EGAS","SOMB",41.3291974879385
"446","ELI","SOMB",216.761891812876
"447","GARD","SOMB",159.39237463576
"448","PCAL","SOMB",72.5013622963893
"449","PESP","SOMB",182.320328312977
"450","PIN","SOMB",112.913481902336
"451","PLAZ","SOMB",51.9127264720899
"452","PMAN","SOMB",207.4263179052
"453","PMOR","SOMB",183.918292683557
"454","PROJ","SOMB",17.9664053349173
"455","PVIC","SOMB",155.506731516118
"456","RED","SOMB",146.066047628463
"457","SOMB","SOMB",0
"458","STAFE","SOMB",80.9709040381746
"459","SUAR","SOMB",153.191917940165
"460","TOR","SOMB",81.1098849418903
"461","BAR","STAFE",129.63408129861
"462","CDOU","STAFE",248.448889595702
"463","CHAM","STAFE",227.930232951114
"464","CMAR","STAFE",166.293561462864
"465","CORA","STAFE",124.424352519222
"466","CUEV","STAFE",64.2061856464654
"467","DAPH","STAFE",57.8800295381279
"468","EGAS","STAFE",120.04964323934
"469","ELI","STAFE",238.682292429028
"470","GARD","STAFE",78.6334305940375
"471","PCAL","STAFE",132.125096452448
"472","PESP","STAFE",253.074489090722
"473","PIN","STAFE",178.552649440913
"474","PLAZ","STAFE",29.0581775660846
"475","PMAN","STAFE",229.346718521352
"476","PMOR","STAFE",205.838693299709
"477","PROJ","STAFE",96.0151750472921
"478","PVIC","STAFE",231.450728097284
"479","RED","STAFE",222.173583216137
"480","SOMB","STAFE",80.9709040381746
"481","STAFE","STAFE",0
"482","SUAR","STAFE",72.4326869905735
"483","TOR","STAFE",97.8052216806439
"484","BAR","SUAR",168.918199766938
"485","CDOU","SUAR",286.867387275763
"486","CHAM","SUAR",266.348730631176
"487","CMAR","SUAR",227.127245867827
"488","CORA","SUAR",190.416195001725
"489","CUEV","SUAR",76.2169969891295
"490","DAPH","SUAR",130.101043440118
"491","EGAS","SUAR",180.883327644303
"492","ELI","SUAR",277.100790109089
"493","GARD","SUAR",8.77725551066653
"494","PCAL","SUAR",202.191973648381
"495","PESP","SUAR",291.492986770783
"496","PIN","SUAR",249.033633158925
"497","PLAZ","SUAR",101.279190482645
"498","PMAN","SUAR",267.765216201414
"499","PMOR","SUAR",244.257190979771
"500","PROJ","SUAR",157.299603099465
"501","PVIC","SUAR",294.848343625711
"502","RED","SUAR",285.407659738056
"503","SOMB","SUAR",153.191917940165
"504","STAFE","SUAR",72.4326869905735
"505","SUAR","SUAR",0
"506","TOR","SUAR",138.603561459269
"507","BAR","TOR",31.8285593400473
"508","CDOU","TOR",150.643412968862
"509","CHAM","TOR",130.124756324274
"510","CMAR","TOR",129.036338834388
"511","CORA","TOR",179.619365128853
"512","CUEV","TOR",62.7113899137132
"513","DAPH","TOR",87.2356154280317
"514","EGAS","TOR",88.6770801887422
"515","ELI","TOR",140.876815802188
"516","GARD","TOR",147.164597497479
"517","PCAL","TOR",153.611244846059
"518","PESP","TOR",155.269012463882
"519","PIN","TOR",185.898764020993
"520","PLAZ","TOR",100.309520248797
"521","PMAN","TOR",131.541241894512
"522","PMOR","TOR",108.033216672869
"523","PROJ","TOR",71.1827300859053
"524","PVIC","TOR",182.16829926905
"525","RED","TOR",187.565426652275
"526","SOMB","TOR",81.1098849418902
"527","STAFE","TOR",97.8052216806439
"528","SUAR","TOR",138.603561459269
"529","TOR","TOR",0
