"BAR-1","BAR-2","BAR-3","C-C","C-D","C2","C3","C4","C6","CDOU-2","CDOU-3","CDOU-C","CDOU1-REDO-U","CHAM-1","CHAM-2","CHAM-3","CHAM-C","CMAR-1","CMAR-2","CMAR-3","CMAR-C","CORA-1","CORA-2","CORA-3","CORA-C","CUEV-1","CUEV-2","CUEV-3","CUEV-C","DAPH-1","DAPH-2","DAPH-3","DAPH-C","EGAS-1","EGAS-2","EGAS-3","EGAS-C","ELI-1","ELI-2","ELI-3","ELI-C","GARD-1","GARD-2","GARD-3","GARD-C","PCAL-1","PCAL-2","PCAL-3","PCAL-C","PCR1-NTC-1","PCR1-NTC-2","PESP-1","PESP-2","PESP-3","PESP-C","PIN-1","PIN-2","PIN-3","PIN-C","PLAZ-1","PLAZ-2","PLAZ-3","PLAZ-C","PMAN-1","PMAN-2","PMAN-3","PMAN-C","PMOR-1","PMOR-2","PMOR-3","PMOR-C","PROJ-1","PROJ-2","PROJ-3","PROJ-C","PVIC-1","PVIC-2","PVIC-3","PVIC-C","RED-1","RED-2","RED-3","RED-C","SOMB-1","SOMB-2","SOMB-3","SOMB-C","STAFE-1","STAFE-2","STAFE-3","SUAR-1","SUAR-2","SUAR-3","SUAR-C","TOR-1","TOR-2","TOR-3"
"ASV_32",0,0,0,0,0,0,0,0,0,262,4916,0,108,4902,393,1030,0,0,0,126,0,69,0,224,0,0,0,0,0,21,24,80,0,0,0,164,0,0,0,0,0,0,0,425,0,4031,11895,13473,0,0,0,529,0,241,0,147,1298,232,0,0,0,0,0,0,0,516,0,0,0,115,0,0,208,0,0,686,449,0,0,923,78,0,0,1036,2928,0,0,0,85,0,532,0,0,0,0,0,0
"ASV_33",0,152,0,0,0,0,0,0,0,0,0,0,0,0,116,114,0,0,0,986,0,366,21550,2964,0,0,0,406,0,0,0,0,0,0,0,0,0,42,120,33,0,0,0,1962,0,927,1565,191,0,0,0,0,0,355,0,3271,2255,1009,0,124,70,155,0,3901,0,0,0,0,0,3302,0,0,551,0,0,0,593,211,0,0,11,0,0,1385,1174,0,0,160,88,598,0,0,0,0,0,0,0
"ASV_34",807,393,144,0,0,0,0,0,0,191,346,0,47,3212,1546,1276,0,0,0,0,0,36,200,295,0,8079,525,2571,0,216,1685,1037,0,0,506,0,0,0,0,0,0,0,563,0,0,187,2045,695,0,0,0,0,0,16,0,116,95,412,0,1473,980,2211,0,1328,0,58,0,0,0,0,0,840,3,534,0,0,1136,322,0,5689,235,2895,0,195,0,42,0,0,67,383,0,0,2085,0,0,1318,1108
"ASV_35",0,0,0,0,0,0,0,0,0,3230,3680,0,142,814,0,397,0,82,143,115,0,65,1355,593,0,1095,1184,0,0,0,0,0,0,0,754,399,0,73,123,0,0,0,0,0,0,648,746,324,0,0,0,54,500,1363,0,0,0,4,0,195,2408,4627,0,0,0,0,0,873,0,313,0,138,0,0,0,4746,4030,5239,0,7677,132,376,0,0,0,0,0,0,0,0,0,206,0,0,0,0,905
"ASV_36",4,0,0,0,0,0,0,0,0,194,211,0,79,2923,1658,1797,0,130,730,139,0,74,0,0,0,1700,1923,343,0,0,0,0,0,5122,19069,0,0,0,121,0,0,252,0,0,0,75,407,0,0,0,0,0,0,225,0,0,0,0,0,302,453,964,0,1036,16,0,0,0,0,1154,0,0,527,0,0,454,451,0,0,0,0,0,0,0,471,0,0,0,116,0,1060,516,0,0,1149,2115,311
"ASV_37",2380,1636,1397,0,0,0,0,0,0,691,3879,0,439,2437,4687,3512,0,222,785,112,0,0,330,0,0,2648,1118,1235,0,0,40,0,0,132,0,0,0,53,368,0,0,184,0,0,0,167,336,0,0,0,0,74,0,3452,0,0,0,27,0,140,112,3232,0,5,58,784,0,0,2515,1036,0,0,0,270,0,762,0,1545,0,1309,108,1089,0,0,622,219,0,101,0,0,0,0,117,0,0,0,0
"ASV_38",757,476,722,0,0,0,0,0,0,14877,896,0,4935,2169,1425,3353,0,0,0,0,0,22,44,346,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,649,0,0,0,0,0,1950,0,0,0,118,0,0,192,563,0,521,50,775,0,0,0,5571,0,0,0,29,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,3521,0,900
"ASV_39",220,2109,0,0,0,0,0,0,0,81,897,0,26,506,594,500,0,925,2172,684,0,0,0,276,0,2074,0,756,0,42,692,391,0,2719,211,0,0,0,112,126,0,892,558,282,0,2753,831,290,0,0,0,99,4510,353,0,248,701,83,0,5,1324,391,0,71,0,0,0,1479,661,317,0,0,657,519,0,0,0,176,0,38,0,0,0,223,946,197,0,0,0,203,0,534,1900,0,0,4855,360
"ASV_40",747,3742,113,22,4,7,122,0,0,1062,929,0,8,2237,992,1349,0,67,48,67,0,53,174,69,0,661,432,97,0,0,0,76,0,639,300,204,0,112,117,86,5,146,149,259,0,67,1305,3822,2,0,0,0,154,87,0,51,22,45,0,158,133,45,0,509,40,485,0,1073,1080,757,4,173,44,11,22,258,431,1430,22,140,10,95,0,230,1016,0,23,79,90,8,82,54,45,14,7435,3608,1647
"ASV_41",0,0,0,0,0,0,0,0,0,269,944,0,0,0,0,0,0,288,52,185,0,0,0,0,0,0,0,0,0,0,0,0,0,519,493,542,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,6020,4775,263,0,0,0,0,0,0,0,0,0,3335,10395,13304,0,0,0,0,0,0,0,0,0,0,0
