"","Start","End","Flat","Flon","Tlat","Tlon","Calcdistance"
"235","CORA","PCAL",0.311316666666667,-89.97515,0.286433333333333,-90.5018166666667,59523.0259493663
"236","CUEV","PCAL",-1.25335,-90.3741,0.286433333333333,-90.5018166666667,176065.007283091
"237","DAPH","PCAL",-0.4258,-90.3721166666667,0.286433333333333,-90.5018166666667,82198.8905900424
"238","EGAS","PCAL",-0.2596,-90.8687833333333,0.286433333333333,-90.5018166666667,74496.0124159042
"239","ELI","PCAL",-0.59505,-91.0859,0.286433333333333,-90.5018166666667,219531.471311898
"240","GARD","PCAL",-1.36546666666667,-89.6393166666667,0.286433333333333,-90.5018166666667,207289.118830954
"241","PCAL","PCAL",0.286433333333333,-90.5018166666667,0.286433333333333,-90.5018166666667,0
"242","PESP","PCAL",-0.272283333333333,-91.4353833333333,0.286433333333333,-90.5018166666667,166730.590809757
"243","PIN","PCAL",0.603883333333333,-90.7898333333333,0.286433333333333,-90.5018166666667,48955.6452638726
"244","PLAZ","PCAL",-0.567566666666667,-90.1736166666667,0.286433333333333,-90.5018166666667,103150.871671106
"245","PMAN","PCAL",-0.458566666666667,-91.3908333333333,0.286433333333333,-90.5018166666667,190302.095147222
"246","PMOR","PCAL",-0.7223,-91.3450666666667,0.286433333333333,-90.5018166666667,219658.257035251
"247","PROJ","PCAL",-0.40895,-90.7155333333333,0.286433333333333,-90.5018166666667,92175.2429653725
"248","PVIC","PCAL",-0.0453666666666667,-91.5430166666667,0.286433333333333,-90.5018166666667,140874.687104745
"249","RED","PCAL",0.2706,-91.6264833333333,0.286433333333333,-90.5018166666667,125665.334188732
"250","SOMB","PCAL",-0.350816666666667,-90.5685,0.286433333333333,-90.5018166666667,72336.4253254003
"251","STAFE","PCAL",-0.799483333333333,-90.04745,0.286433333333333,-90.5018166666667,131795.08453229
"252","SUAR","PCAL",-1.35056666666667,-89.7104333333333,0.286433333333333,-90.5018166666667,201991.939810171
"253","TOR","PCAL",-1.01171666666667,-90.8767,0.286433333333333,-90.5018166666667,153281.532748095
"254","BAR","PESP",-1.03875,-91.1563666666667,-0.272283333333333,-91.4353833333333,125077.227256239
"255","CDOU","PESP",-0.302816666666667,-91.6517333333333,-0.272283333333333,-91.4353833333333,25875.947618669
"256","CHAM","PESP",-0.469583333333333,-91.6111833333333,-0.272283333333333,-91.4353833333333,46670.7680023247
"257","CMAR","PESP",-0.00133333333333333,-91.22385,-0.272283333333333,-91.4353833333333,93908.0114130973
"258","CORA","PESP",0.311316666666667,-89.97515,-0.272283333333333,-91.4353833333333,225821.219564637
"259","CUEV","PESP",-1.25335,-90.3741,-0.272283333333333,-91.4353833333333,215702.210048932
"260","DAPH","PESP",-0.4258,-90.3721166666667,-0.272283333333333,-91.4353833333333,198177.309218177
"261","EGAS","PESP",-0.2596,-90.8687833333333,-0.272283333333333,-91.4353833333333,141848.360244832
"262","ELI","PESP",-0.59505,-91.0859,-0.272283333333333,-91.4353833333333,53200.9552246548
"263","GARD","PESP",-1.36546666666667,-89.6393166666667,-0.272283333333333,-91.4353833333333,301161.861027448
"264","PCAL","PESP",0.286433333333333,-90.5018166666667,-0.272283333333333,-91.4353833333333,166730.590809757
"265","PESP","PESP",-0.272283333333333,-91.4353833333333,-0.272283333333333,-91.4353833333333,0
"266","PIN","PESP",0.603883333333333,-90.7898333333333,-0.272283333333333,-91.4353833333333,148833.154070686
"267","PLAZ","PESP",-0.567566666666667,-90.1736166666667,-0.272283333333333,-91.4353833333333,226161.880292252
"268","PMAN","PESP",-0.458566666666667,-91.3908333333333,-0.272283333333333,-91.4353833333333,23971.5792289776
"269","PMOR","PESP",-0.7223,-91.3450666666667,-0.272283333333333,-91.4353833333333,53327.7411170059
"270","PROJ","PESP",-0.40895,-90.7155333333333,-0.272283333333333,-91.4353833333333,165765.606633571
"271","PVIC","PESP",-0.0453666666666667,-91.5430166666667,-0.272283333333333,-91.4353833333333,28203.9462428994
"272","RED","PESP",0.2706,-91.6264833333333,-0.272283333333333,-91.4353833333333,65956.0714245173
"273","SOMB","PESP",-0.350816666666667,-90.5685,-0.272283333333333,-91.4353833333333,180830.533797427
"274","STAFE","PESP",-0.799483333333333,-90.04745,-0.272283333333333,-91.4353833333333,253854.753211266
"275","SUAR","PESP",-1.35056666666667,-89.7104333333333,-0.272283333333333,-91.4353833333333,291593.482249337
"276","TOR","PESP",-1.01171666666667,-90.8767,-0.272283333333333,-91.4353833333333,155050.703503208
"277","BAR","PIN",-1.03875,-91.1563666666667,0.603883333333333,-90.7898333333333,212944.033983898
"278","CDOU","PIN",-0.302816666666667,-91.6517333333333,0.603883333333333,-90.7898333333333,148033.869524093
"279","CHAM","PIN",-0.469583333333333,-91.6111833333333,0.603883333333333,-90.7898333333333,168473.961291054
"280","CMAR","PIN",-0.00133333333333333,-91.22385,0.603883333333333,-90.7898333333333,83482.3183047635
"281","CORA","PIN",0.311316666666667,-89.97515,0.603883333333333,-90.7898333333333,101756.234332551
"282","CUEV","PIN",-1.25335,-90.3741,0.603883333333333,-90.7898333333333,216477.630324623
"283","DAPH","PIN",-0.4258,-90.3721166666667,0.603883333333333,-90.7898333333333,125034.853576642
"284","EGAS","PIN",-0.2596,-90.8687833333333,0.603883333333333,-90.7898333333333,97683.4206532754
"285","ELI","PIN",-0.59505,-91.0859,0.603883333333333,-90.7898333333333,201634.034572826
"286","GARD","PIN",-1.36546666666667,-89.6393166666667,0.603883333333333,-90.7898333333333,255924.711247343
"287","PCAL","PIN",0.286433333333333,-90.5018166666667,0.603883333333333,-90.7898333333333,48955.6452638725
"288","PESP","PIN",-0.272283333333333,-91.4353833333333,0.603883333333333,-90.7898333333333,148833.154070686
"289","PIN","PIN",0.603883333333333,-90.7898333333333,0.603883333333333,-90.7898333333333,0
"290","PLAZ","PIN",-0.567566666666667,-90.1736166666667,0.603883333333333,-90.7898333333333,147892.94868179
"291","PMAN","PIN",-0.458566666666667,-91.3908333333333,0.603883333333333,-90.7898333333333,172404.65840815
"292","PMOR","PIN",-0.7223,-91.3450666666667,0.603883333333333,-90.7898333333333,201760.820296179
"293","PROJ","PIN",-0.40895,-90.7155333333333,0.603883333333333,-90.7898333333333,122918.333200008
"294","PVIC","PIN",-0.0453666666666667,-91.5430166666667,0.603883333333333,-90.7898333333333,122977.250365673
"295","RED","PIN",0.2706,-91.6264833333333,0.603883333333333,-90.7898333333333,101875.904501931
"296","SOMB","PIN",-0.350816666666667,-90.5685,0.603883333333333,-90.7898333333333,112748.98576749
"297","STAFE","PIN",-0.799483333333333,-90.04745,0.603883333333333,-90.7898333333333,176951.474176024
"298","SUAR","PIN",-1.35056666666667,-89.7104333333333,0.603883333333333,-90.7898333333333,249550.463057779
"299","TOR","PIN",-1.01171666666667,-90.8767,0.603883333333333,-90.7898333333333,185900.704129387
"300","BAR","PLAZ",-1.03875,-91.1563666666667,-0.567566666666667,-90.1736166666667,132546.41022107
"301","CDOU","PLAZ",-0.302816666666667,-91.6517333333333,-0.567566666666667,-90.1736166666667,225362.595745659
"302","CHAM","PLAZ",-0.469583333333333,-91.6111833333333,-0.567566666666667,-90.1736166666667,230324.800436355
"303","CMAR","PLAZ",-0.00133333333333333,-91.22385,-0.567566666666667,-90.1736166666667,137396.795302408
"304","CORA","PLAZ",0.311316666666667,-89.97515,-0.567566666666667,-90.1736166666667,102390.293576888
"305","CUEV","PLAZ",-1.25335,-90.3741,-0.567566666666667,-90.1736166666667,81285.5726333814
"306","DAPH","PLAZ",-0.4258,-90.3721166666667,-0.567566666666667,-90.1736166666667,27984.5749673343
"307","EGAS","PLAZ",-0.2596,-90.8687833333333,-0.567566666666667,-90.1736166666667,90952.8757026231
"308","ELI","PLAZ",-0.59505,-91.0859,-0.567566666666667,-90.1736166666667,240943.498752521
"309","GARD","PLAZ",-1.36546666666667,-89.6393166666667,-0.567566666666667,-90.1736166666667,108031.76289164
"310","PCAL","PLAZ",0.286433333333333,-90.5018166666667,-0.567566666666667,-90.1736166666667,103150.871671106
"311","PESP","PLAZ",-0.272283333333333,-91.4353833333333,-0.567566666666667,-90.1736166666667,226161.880292252
"312","PIN","PLAZ",0.603883333333333,-90.7898333333333,-0.567566666666667,-90.1736166666667,147892.94868179
"313","PLAZ","PLAZ",-0.567566666666667,-90.1736166666667,-0.567566666666667,-90.1736166666667,0
"314","PMAN","PLAZ",-0.458566666666667,-91.3908333333333,-0.567566666666667,-90.1736166666667,231796.966267732
"315","PMOR","PLAZ",-0.7223,-91.3450666666667,-0.567566666666667,-90.1736166666667,208099.763394362
"316","PROJ","PLAZ",-0.40895,-90.7155333333333,-0.567566666666667,-90.1736166666667,67156.3038491729
"317","PVIC","PLAZ",-0.0453666666666667,-91.5430166666667,-0.567566666666667,-90.1736166666667,200305.976587239
"318","RED","PLAZ",0.2706,-91.6264833333333,-0.567566666666667,-90.1736166666667,189988.157300286
"319","SOMB","PLAZ",-0.350816666666667,-90.5685,-0.567566666666667,-90.1736166666667,51157.3658954282
"320","STAFE","PLAZ",-0.799483333333333,-90.04745,-0.567566666666667,-90.1736166666667,29058.5258203206
"321","SUAR","PLAZ",-1.35056666666667,-89.7104333333333,-0.567566666666667,-90.1736166666667,101657.514702076
"322","TOR","PLAZ",-1.01171666666667,-90.8767,-0.567566666666667,-90.1736166666667,100717.947370752
"323","BAR","PMAN",-1.03875,-91.1563666666667,-0.458566666666667,-91.3908333333333,101105.672375085
"324","CDOU","PMAN",-0.302816666666667,-91.6517333333333,-0.458566666666667,-91.3908333333333,49325.3396768269
"325","CHAM","PMAN",-0.469583333333333,-91.6111833333333,-0.458566666666667,-91.3908333333333,28432.7299304816
"326","CMAR","PMAN",-0.00133333333333333,-91.22385,-0.458566666666667,-91.3908333333333,117479.515750562
"327","CORA","PMAN",0.311316666666667,-89.97515,-0.458566666666667,-91.3908333333333,249392.723902102
"328","CUEV","PMAN",-1.25335,-90.3741,-0.458566666666667,-91.3908333333333,191730.655167778
"329","DAPH","PMAN",-0.4258,-90.3721166666667,-0.458566666666667,-91.3908333333333,214309.696933278
"330","EGAS","PMAN",-0.2596,-90.8687833333333,-0.458566666666667,-91.3908333333333,165419.864582297
"331","ELI","PMAN",-0.59505,-91.0859,-0.458566666666667,-91.3908333333333,37317.8833873664
"332","GARD","PMAN",-1.36546666666667,-89.6393166666667,-0.458566666666667,-91.3908333333333,277190.306146294
"333","PCAL","PMAN",0.286433333333333,-90.5018166666667,-0.458566666666667,-91.3908333333333,190302.095147222
"334","PESP","PMAN",-0.272283333333333,-91.4353833333333,-0.458566666666667,-91.3908333333333,23971.5792289776
"335","PIN","PMAN",0.603883333333333,-90.7898333333333,-0.458566666666667,-91.3908333333333,172404.65840815
"336","PLAZ","PMAN",-0.567566666666667,-90.1736166666667,-0.458566666666667,-91.3908333333333,231796.966267732
"337","PMAN","PMAN",-0.458566666666667,-91.3908333333333,-0.458566666666667,-91.3908333333333,0
"338","PMOR","PMAN",-0.7223,-91.3450666666667,-0.458566666666667,-91.3908333333333,30237.3237311791
"339","PROJ","PMAN",-0.40895,-90.7155333333333,-0.458566666666667,-91.3908333333333,189337.110971036
"340","PVIC","PMAN",-0.0453666666666667,-91.5430166666667,-0.458566666666667,-91.3908333333333,51526.8017688933
"341","RED","PMAN",0.2706,-91.6264833333333,-0.458566666666667,-91.3908333333333,89527.5750550425
"342","SOMB","PMAN",-0.350816666666667,-90.5685,-0.458566666666667,-91.3908333333333,204402.038134892
"343","STAFE","PMAN",-0.799483333333333,-90.04745,-0.458566666666667,-91.3908333333333,229883.198330112
