"","Start","End","TempDiff"
"241","PCAL","PCAL",0
"242","PESP","PCAL",-3.8101282119751
"243","PIN","PCAL",-1.34326601028442
"244","PLAZ","PCAL",-0.24321460723877
"245","PMAN","PCAL",-2.90563011169434
"246","PMOR","PCAL",-4.15937519073486
"247","PROJ","PCAL",-0.0471186637878418
"248","PVIC","PCAL",-3.23510456085205
"249","RED","PCAL",-2.36495733261108
"250","SOMB","PCAL",0.306854248046875
"251","STAFE","PCAL",-0.507966041564941
"252","SUAR","PCAL",-1.19394159317017
"253","TOR","PCAL",-0.422554492950439
"254","BAR","PESP",3.47035980224609
"255","CDOU","PESP",-0.403127670288086
"256","CHAM","PESP",0.229287147521973
"257","CMAR","PESP",3.56256628036499
"258","CORA","PESP",3.9637393951416
"259","CUEV","PESP",3.53118133544922
"260","DAPH","PESP",3.25445127487183
"261","EGAS","PESP",3.5490837097168
"262","ELI","PESP",0.55006217956543
"263","GARD","PESP",3.79785760243734
"264","PCAL","PESP",3.8101282119751
"265","PESP","PESP",0
"266","PIN","PESP",2.46686220169067
"267","PLAZ","PESP",3.56691360473633
"268","PMAN","PESP",0.904498100280762
"269","PMOR","PESP",-0.349246978759766
"270","PROJ","PESP",3.76300954818726
"271","PVIC","PESP",0.575023651123047
"272","RED","PESP",1.44517087936401
"273","SOMB","PESP",4.11698246002197
"274","STAFE","PESP",3.30216217041016
"275","SUAR","PESP",2.61618661880493
"276","TOR","PESP",3.38757371902466
"277","BAR","PIN",1.00349760055542
"278","CDOU","PIN",-2.86998987197876
"279","CHAM","PIN",-2.2375750541687
"280","CMAR","PIN",1.09570407867432
"281","CORA","PIN",1.49687719345093
"282","CUEV","PIN",1.06431913375854
"283","DAPH","PIN",0.787589073181152
"284","EGAS","PIN",1.08222150802612
"285","ELI","PIN",-1.91680002212524
"286","GARD","PIN",1.33099540074666
"287","PCAL","PIN",1.34326601028442
"288","PESP","PIN",-2.46686220169067
"289","PIN","PIN",0
"290","PLAZ","PIN",1.10005140304565
"291","PMAN","PIN",-1.56236410140991
"292","PMOR","PIN",-2.81610918045044
"293","PROJ","PIN",1.29614734649658
"294","PVIC","PIN",-1.89183855056763
"295","RED","PIN",-1.02169132232666
"296","SOMB","PIN",1.6501202583313
"297","STAFE","PIN",0.835299968719482
"298","SUAR","PIN",0.149324417114258
"299","TOR","PIN",0.920711517333984
"300","BAR","PLAZ",-0.0965538024902344
"301","CDOU","PLAZ",-3.97004127502441
"302","CHAM","PLAZ",-3.33762645721436
"303","CMAR","PLAZ",-0.00434732437133789
"304","CORA","PLAZ",0.396825790405273
"305","CUEV","PLAZ",-0.0357322692871094
"306","DAPH","PLAZ",-0.312462329864502
"307","EGAS","PLAZ",-0.0178298950195312
"308","ELI","PLAZ",-3.0168514251709
"309","GARD","PLAZ",0.230943997701008
"310","PCAL","PLAZ",0.24321460723877
"311","PESP","PLAZ",-3.56691360473633
"312","PIN","PLAZ",-1.10005140304565
"313","PLAZ","PLAZ",0
"314","PMAN","PLAZ",-2.66241550445557
"315","PMOR","PLAZ",-3.91616058349609
"316","PROJ","PLAZ",0.196095943450928
"317","PVIC","PLAZ",-2.99188995361328
"318","RED","PLAZ",-2.12174272537231
"319","SOMB","PLAZ",0.550068855285645
"320","STAFE","PLAZ",-0.264751434326172
"321","SUAR","PLAZ",-0.950726985931396
"322","TOR","PLAZ",-0.17933988571167
"323","BAR","PMAN",2.56586170196533
"324","CDOU","PMAN",-1.30762577056885
"325","CHAM","PMAN",-0.675210952758789
"326","CMAR","PMAN",2.65806818008423
"327","CORA","PMAN",3.05924129486084
"328","CUEV","PMAN",2.62668323516846
"329","DAPH","PMAN",2.34995317459106
"330","EGAS","PMAN",2.64458560943604
"331","ELI","PMAN",-0.354435920715332
"332","GARD","PMAN",2.89335950215657
"333","PCAL","PMAN",2.90563011169434
"334","PESP","PMAN",-0.904498100280762
"335","PIN","PMAN",1.56236410140991
"336","PLAZ","PMAN",2.66241550445557
"337","PMAN","PMAN",0
"338","PMOR","PMAN",-1.25374507904053
"339","PROJ","PMAN",2.85851144790649
"340","PVIC","PMAN",-0.329474449157715
"341","RED","PMAN",0.540672779083252
"342","SOMB","PMAN",3.21248435974121
"343","STAFE","PMAN",2.39766407012939
"344","SUAR","PMAN",1.71168851852417
"345","TOR","PMAN",2.4830756187439
"346","BAR","PMOR",3.81960678100586
"347","CDOU","PMOR",-0.0538806915283203
"348","CHAM","PMOR",0.578534126281738
"349","CMAR","PMOR",3.91181325912476
"350","CORA","PMOR",4.31298637390137
"351","CUEV","PMOR",3.88042831420898
"352","DAPH","PMOR",3.60369825363159
"353","EGAS","PMOR",3.89833068847656
"354","ELI","PMOR",0.899309158325195
"355","GARD","PMOR",4.1471045811971
"356","PCAL","PMOR",4.15937519073486
"357","PESP","PMOR",0.349246978759766
"358","PIN","PMOR",2.81610918045044
"359","PLAZ","PMOR",3.91616058349609
"360","PMAN","PMOR",1.25374507904053
"361","PMOR","PMOR",0
"362","PROJ","PMOR",4.11225652694702
"363","PVIC","PMOR",0.924270629882812
"364","RED","PMOR",1.79441785812378
"365","SOMB","PMOR",4.46622943878174
"366","STAFE","PMOR",3.65140914916992
"367","SUAR","PMOR",2.9654335975647
"368","TOR","PMOR",3.73682069778442
"369","BAR","PROJ",-0.292649745941162
"370","CDOU","PROJ",-4.16613721847534
"371","CHAM","PROJ",-3.53372240066528
"372","CMAR","PROJ",-0.200443267822266
"373","CORA","PROJ",0.200729846954346
"374","CUEV","PROJ",-0.231828212738037
"375","DAPH","PROJ",-0.50855827331543
"376","EGAS","PROJ",-0.213925838470459
"377","ELI","PROJ",-3.21294736862183
"378","GARD","PROJ",0.0348480542500802
"379","PCAL","PROJ",0.0471186637878418
"380","PESP","PROJ",-3.76300954818726
"381","PIN","PROJ",-1.29614734649658
"382","PLAZ","PROJ",-0.196095943450928
"383","PMAN","PROJ",-2.85851144790649
"384","PMOR","PROJ",-4.11225652694702
"385","PROJ","PROJ",0
"386","PVIC","PROJ",-3.18798589706421
"387","RED","PROJ",-2.31783866882324
"388","SOMB","PROJ",0.353972911834717
"389","STAFE","PROJ",-0.4608473777771
"390","SUAR","PROJ",-1.14682292938232
"391","TOR","PROJ",-0.375435829162598
"392","BAR","PVIC",2.89533615112305
"393","CDOU","PVIC",-0.978151321411133
"394","CHAM","PVIC",-0.345736503601074
"395","CMAR","PVIC",2.98754262924194
"396","CORA","PVIC",3.38871574401855
"397","CUEV","PVIC",2.95615768432617
"398","DAPH","PVIC",2.67942762374878
"399","EGAS","PVIC",2.97406005859375
"400","ELI","PVIC",-0.0249614715576172
"401","GARD","PVIC",3.22283395131429
"402","PCAL","PVIC",3.23510456085205
"403","PESP","PVIC",-0.575023651123047
"404","PIN","PVIC",1.89183855056763
"405","PLAZ","PVIC",2.99188995361328
"406","PMAN","PVIC",0.329474449157715
"407","PMOR","PVIC",-0.924270629882812
"408","PROJ","PVIC",3.18798589706421
"409","PVIC","PVIC",0
"410","RED","PVIC",0.870147228240967
"411","SOMB","PVIC",3.54195880889893
"412","STAFE","PVIC",2.72713851928711
"413","SUAR","PVIC",2.04116296768188
"414","TOR","PVIC",2.81255006790161
"415","BAR","RED",2.02518892288208
"416","CDOU","RED",-1.8482985496521
"417","CHAM","RED",-1.21588373184204
"418","CMAR","RED",2.11739540100098
"419","CORA","RED",2.51856851577759
"420","CUEV","RED",2.0860104560852
"421","DAPH","RED",1.80928039550781
"422","EGAS","RED",2.10391283035278
"423","ELI","RED",-0.895108699798584
"424","GARD","RED",2.35268672307332
"425","PCAL","RED",2.36495733261108
"426","PESP","RED",-1.44517087936401
"427","PIN","RED",1.02169132232666
"428","PLAZ","RED",2.12174272537231
"429","PMAN","RED",-0.540672779083252
"430","PMOR","RED",-1.79441785812378
"431","PROJ","RED",2.31783866882324
"432","PVIC","RED",-0.870147228240967
"433","RED","RED",0
"434","SOMB","RED",2.67181158065796
"435","STAFE","RED",1.85699129104614
"436","SUAR","RED",1.17101573944092
"437","TOR","RED",1.94240283966064
"438","BAR","SOMB",-0.646622657775879
"439","CDOU","SOMB",-4.52011013031006
"440","CHAM","SOMB",-3.8876953125
"441","CMAR","SOMB",-0.554416179656982
"442","CORA","SOMB",-0.153243064880371
"443","CUEV","SOMB",-0.585801124572754
"444","DAPH","SOMB",-0.862531185150146
"445","EGAS","SOMB",-0.567898750305176
"446","ELI","SOMB",-3.56692028045654
"447","GARD","SOMB",-0.319124857584637
"448","PCAL","SOMB",-0.306854248046875
"449","PESP","SOMB",-4.11698246002197
"450","PIN","SOMB",-1.6501202583313
"451","PLAZ","SOMB",-0.550068855285645
"452","PMAN","SOMB",-3.21248435974121
"453","PMOR","SOMB",-4.46622943878174
"454","PROJ","SOMB",-0.353972911834717
"455","PVIC","SOMB",-3.54195880889893
"456","RED","SOMB",-2.67181158065796
"457","SOMB","SOMB",0
"458","STAFE","SOMB",-0.814820289611816
"459","SUAR","SOMB",-1.50079584121704
"460","TOR","SOMB",-0.729408740997314
"461","BAR","STAFE",0.168197631835938
"462","CDOU","STAFE",-3.70528984069824
"463","CHAM","STAFE",-3.07287502288818
"464","CMAR","STAFE",0.260404109954834
"465","CORA","STAFE",0.661577224731445
"466","CUEV","STAFE",0.229019165039062
"467","DAPH","STAFE",-0.0477108955383301
"468","EGAS","STAFE",0.246921539306641
"469","ELI","STAFE",-2.75209999084473
"470","GARD","STAFE",0.49569543202718
"471","PCAL","STAFE",0.507966041564941
"472","PESP","STAFE",-3.30216217041016
"473","PIN","STAFE",-0.835299968719482
"474","PLAZ","STAFE",0.264751434326172
"475","PMAN","STAFE",-2.39766407012939
"476","PMOR","STAFE",-3.65140914916992
"477","PROJ","STAFE",0.4608473777771
"478","PVIC","STAFE",-2.72713851928711
"479","RED","STAFE",-1.85699129104614
"480","SOMB","STAFE",0.814820289611816
"481","STAFE","STAFE",0
"482","SUAR","STAFE",-0.685975551605225
"483","TOR","STAFE",0.085411548614502
"484","BAR","SUAR",0.854173183441162
"485","CDOU","SUAR",-3.01931428909302
"486","CHAM","SUAR",-2.38689947128296
"487","CMAR","SUAR",0.946379661560059
"488","CORA","SUAR",1.34755277633667
"489","CUEV","SUAR",0.914994716644287
"490","DAPH","SUAR",0.638264656066895
"491","EGAS","SUAR",0.932897090911865
"492","ELI","SUAR",-2.0661244392395
"493","GARD","SUAR",1.1816709836324
"494","PCAL","SUAR",1.19394159317017
"495","PESP","SUAR",-2.61618661880493
"496","PIN","SUAR",-0.149324417114258
"497","PLAZ","SUAR",0.950726985931396
"498","PMAN","SUAR",-1.71168851852417
"499","PMOR","SUAR",-2.9654335975647
"500","PROJ","SUAR",1.14682292938232
"501","PVIC","SUAR",-2.04116296768188
"502","RED","SUAR",-1.17101573944092
"503","SOMB","SUAR",1.50079584121704
"504","STAFE","SUAR",0.685975551605225
"505","SUAR","SUAR",0
"506","TOR","SUAR",0.771387100219727
"507","BAR","TOR",0.0827860832214355
