"","Start","End","Flat","Flon","Tlat","Tlon","Calcdistance"
"126","PCAL","CUEV",0.286433333333333,-90.5018166666667,-1.25335,-90.3741,176065.007283024
"127","PESP","CUEV",-0.272283333333333,-91.4353833333333,-1.25335,-90.3741,215702.210048861
"128","PIN","CUEV",0.603883333333333,-90.7898333333333,-1.25335,-90.3741,216477.630324496
"129","PLAZ","CUEV",-0.567566666666667,-90.1736166666667,-1.25335,-90.3741,81285.5726333172
"130","PMAN","CUEV",-0.458566666666667,-91.3908333333333,-1.25335,-90.3741,191730.655167722
"131","PMOR","CUEV",-0.7223,-91.3450666666667,-1.25335,-90.3741,168033.452294384
"132","PROJ","CUEV",-0.40895,-90.7155333333333,-1.25335,-90.3741,102317.638314987
"133","PVIC","CUEV",-0.0453666666666667,-91.5430166666667,-1.25335,-90.3741,237687.628164734
"134","RED","CUEV",0.2706,-91.6264833333333,-1.25335,-90.3741,227369.808136207
"135","SOMB","CUEV",-0.350816666666667,-90.5685,-1.25335,-90.3741,104692.663014474
"136","STAFE","CUEV",-0.799483333333333,-90.04745,-1.25335,-90.3741,65664.5084113361
"137","SUAR","CUEV",-1.35056666666667,-89.7104333333333,-1.25335,-90.3741,77108.7795354579
"138","TOR","CUEV",-1.01171666666667,-90.8767,-1.25335,-90.3741,62817.5887540066
"139","BAR","DAPH",-1.03875,-91.1563666666667,-0.4258,-90.3721166666667,115059.064292759
"140","CDOU","DAPH",-0.302816666666667,-91.6517333333333,-0.4258,-90.3721166666667,197378.024671567
"141","CHAM","DAPH",-0.469583333333333,-91.6111833333333,-0.4258,-90.3721166666667,212837.53110184
"142","CMAR","DAPH",-0.00133333333333333,-91.22385,-0.4258,-90.3721166666667,109412.224228334
"143","CORA","DAPH",0.311316666666667,-89.97515,-0.4258,-90.3721166666667,93090.5444246004
"144","CUEV","DAPH",-1.25335,-90.3741,-0.4258,-90.3721166666667,106656.050194619
"145","DAPH","DAPH",-0.4258,-90.3721166666667,-0.4258,-90.3721166666667,0
"146","EGAS","DAPH",-0.2596,-90.8687833333333,-0.4258,-90.3721166666667,63541.2752317175
"147","ELI","DAPH",-0.59505,-91.0859,-0.4258,-90.3721166666667,223456.229418031
"148","GARD","DAPH",-1.36546666666667,-89.6393166666667,-0.4258,-90.3721166666667,136016.337532812
"149","PCAL","DAPH",0.286433333333333,-90.5018166666667,-0.4258,-90.3721166666667,82198.8905900042
"150","PESP","DAPH",-0.272283333333333,-91.4353833333333,-0.4258,-90.3721166666667,198177.309218145
"151","PIN","DAPH",0.603883333333333,-90.7898333333333,-0.4258,-90.3721166666667,125034.853576517
"152","PLAZ","DAPH",-0.567566666666667,-90.1736166666667,-0.4258,-90.3721166666667,27984.5749673343
"153","PMAN","DAPH",-0.458566666666667,-91.3908333333333,-0.4258,-90.3721166666667,214309.696933211
"154","PMOR","DAPH",-0.7223,-91.3450666666667,-0.4258,-90.3721166666667,190612.494059872
"155","PROJ","DAPH",-0.40895,-90.7155333333333,-0.4258,-90.3721166666667,39744.7586191609
"156","PVIC","DAPH",-0.0453666666666667,-91.5430166666667,-0.4258,-90.3721166666667,172321.405513158
"157","RED","DAPH",0.2706,-91.6264833333333,-0.4258,-90.3721166666667,162003.586226211
"158","SOMB","DAPH",-0.350816666666667,-90.5685,-0.4258,-90.3721166666667,23745.5776951811
"159","STAFE","DAPH",-0.799483333333333,-90.04745,-0.4258,-90.3721166666667,57043.1004615369
"160","SUAR","DAPH",-1.35056666666667,-89.7104333333333,-0.4258,-90.3721166666667,129642.089343229
"161","TOR","DAPH",-1.01171666666667,-90.8767,-0.4258,-90.3721166666667,87766.7867765937
"162","BAR","EGAS",-1.03875,-91.1563666666667,-0.2596,-90.8687833333333,115835.655514661
"163","CDOU","EGAS",-0.302816666666667,-91.6517333333333,-0.2596,-90.8687833333333,141049.075698222
"164","CHAM","EGAS",-0.469583333333333,-91.6111833333333,-0.2596,-90.8687833333333,161489.167465168
"165","CMAR","EGAS",-0.00133333333333333,-91.22385,-0.2596,-90.8687833333333,49319.4507558268
"166","CORA","EGAS",0.311316666666667,-89.97515,-0.2596,-90.8687833333333,121182.880825793
"167","CUEV","EGAS",-1.25335,-90.3741,-0.2596,-90.8687833333333,123968.521335738
"168","DAPH","EGAS",-0.4258,-90.3721166666667,-0.2596,-90.8687833333333,63541.2752317174
"169","EGAS","EGAS",-0.2596,-90.8687833333333,-0.2596,-90.8687833333333,0
"170","ELI","EGAS",-0.59505,-91.0859,-0.2596,-90.8687833333333,194649.240746943
"171","GARD","EGAS",-1.36546666666667,-89.6393166666667,-0.2596,-90.8687833333333,189423.640584356
"172","PCAL","EGAS",0.286433333333333,-90.5018166666667,-0.2596,-90.8687833333333,74496.0124158562
"173","PESP","EGAS",-0.272283333333333,-91.4353833333333,-0.2596,-90.8687833333333,141848.3602448
"174","PIN","EGAS",0.603883333333333,-90.7898333333333,-0.2596,-90.8687833333333,97683.4206532497
"175","PLAZ","EGAS",-0.567566666666667,-90.1736166666667,-0.2596,-90.8687833333333,90952.875702617
"176","PMAN","EGAS",-0.458566666666667,-91.3908333333333,-0.2596,-90.8687833333333,165419.864582253
"177","PMOR","EGAS",-0.7223,-91.3450666666667,-0.2596,-90.8687833333333,191389.085281774
"178","PROJ","EGAS",-0.40895,-90.7155333333333,-0.2596,-90.8687833333333,25975.7168098668
"179","PVIC","EGAS",-0.0453666666666667,-91.5430166666667,-0.2596,-90.8687833333333,115992.456539813
"180","RED","EGAS",0.2706,-91.6264833333333,-0.2596,-90.8687833333333,105674.636511286
