"","journeyID","pathPoints2_oct_surf","pathPoints2_oct_20","pathPoints2_oct_50","pathPoints2_year_surf","pathPoints2_year_20","pathPoints2_year_50","pathPoints2old_oct_surf","pathPoints2old_oct_20","pathPoints2old_oct_50","pathPoints2old_year_surf","pathPoints2old_year_20","pathPoints2old_year_50"
"173","EGAS_SOMB",0.111195325742544,0.0538082129429329,0.0204112229590804,0.0837988231137532,0.0345415494314381,0.0139853411846721,0.133711648935857,0.0660052044033139,0.0255022964012239,0.103406297392438,0.0439830256558244,0.0187704408826769
"174","EGAS_STAFE",0.0930535724077394,0.024632087833688,0.00666546412180639,0.0681092960650534,0.00609998482523675,-0.00460914612989422,0.0940707642193397,0.0305127250960146,0.000615987287981406,0.0848057106626847,0.0242181825280713,0.00216508013597195
"175","EGAS_SUAR",0.174201695814993,0.0903361692154317,0.0209194934391645,0.183927643149639,0.0941773516555063,0.0323644222046074,0.177020732798665,0.0928617965797345,0.026582583590064,0.183801599093631,0.0939852071573722,0.0338996135801602
"176","EGAS_TOR",0.14854064068183,0.110139151466809,0.0521371185136816,0.147441355590032,0.0997111852256563,0.0406303937613859,0.142631245063723,0.10730527660655,0.0519324259660705,0.143446827966835,0.0990018539868922,0.0409098342925237
"177","ELI_BAR",0.031243431903302,0.0200568596486364,0.00446012688577937,0.0302495309515562,0.0107877568149377,0.000225592372130161,0.0507643802430262,0.0296482003291884,0.00659209267140496,0.0456871269094855,0.0158013644190428,0.000750028888989283
"178","ELI_CDOU",-0.0747206096084029,-0.0206383861281125,0.0117942359194367,-0.0748621123140098,-0.0214768612756157,0.0126629220500409,-0.0756903291937194,-0.0201556716441264,0.00886661221708205,-0.0744578843160823,-0.0208225578710409,0.0094241619060365
"179","ELI_CHAM",-0.101702785127421,-0.0266459732154918,0.00323278292611265,-0.0830518745519628,-0.0156876214557627,0.00672216570823981,-0.104293456053219,-0.0302200970575855,0.00231567165114908,-0.0863982123595742,-0.0194190802925885,0.00478432931205793
"180","ELI_CMAR",-0.03714697746505,0.00619024203481473,0.0478301403562139,-0.0387692798465849,0.00808838349590556,0.0424427382616942,-0.023333073274647,0.0210587395524997,0.0554423031375097,-0.0253968763802877,0.0206850868261591,0.0499638590040916
"181","ELI_CORA",0.0686718208624197,0.0529198136037803,0.0250121469030902,0.0804234761253498,0.0561926879529646,0.0309528699138147,0.0668698061230189,0.0542422349538795,0.0230862032564788,0.0808479274279296,0.0598220628281084,0.0352636482220322
"182","ELI_CUEV",0.038604589703334,-0.000705357008564977,0.00104735417942394,0.0244672852692402,-0.0149086274806019,-0.00915612129563781,0.0615530035385455,0.0120440933477471,0.004931423659564,0.0372837913061036,-0.0103577843632609,-0.00790447615501376
"183","ELI_DAPH",-0.0256164233638947,-0.0334909879865617,-0.0221105901334892,-0.0461708814453304,-0.0473650534878465,-0.0250362288137344,-0.0212886888060908,-0.0338715767698485,-0.0248920302833726,-0.0438459805053196,-0.0498480481891459,-0.0282296308295099
"184","ELI_EGAS",0.0668343263096887,0.0775143675077787,0.0752175795228192,0.0672731294671325,0.0751893205373348,0.0718075788284092,0.068845932439166,0.0820114194934587,0.0760977920425506,0.0657481923610996,0.0750490855327298,0.0709388377904504
"185","ELI_GARD",0.0555720325718723,0.00308230587216657,0.000305315280734059,0.0450918718841386,-0.0062046710440934,-0.00665114140914449,0.0604456907894983,0.00379421835909428,0.00378789505188093,0.0413870196410392,-0.0117448271345998,-0.00779407597184049
"186","ELI_PCAL",0.0534763122101025,0.0541346634647875,0.0432127183560961,0.0648430643285499,0.0583262421928924,0.0438024692452083,0.0468994315324551,0.0504945854674583,0.0397695600092403,0.0616940421432887,0.0580760251023512,0.0459273994038278
"187","ELI_PESP",-0.095827140936137,-0.0336703986463564,0.0121612106890785,-0.0956933382882588,-0.0299896864697398,0.0169290766663438,-0.0985826899053177,-0.0340899045934355,0.00795228883022304,-0.0965684865507493,-0.0294388062460484,0.0125980309258118
