"","BAR.1","BAR.2","BAR.3","CDOU.1","CDOU.2","CDOU.3","CHAM.1","CHAM.2","CHAM.3","CMAR.1","CMAR.2","CMAR.3","CORA.1","CORA.2","CORA.3","CUEV.1","CUEV.2","CUEV.3","DAPH.1","DAPH.2","DAPH.3","EGAS.1","EGAS.2","EGAS.3","ELI.1","ELI.2","ELI.3","GARD.1","GARD.2","GARD.3","PCAL.1","PCAL.2","PCAL.3","PESP.1","PESP.2","PESP.3","PIN.1","PIN.2","PIN.3","PLAZ.1","PLAZ.2","PLAZ.3","PMAN.1","PMAN.2","PMAN.3","PMOR.1","PMOR.2","PMOR.3","PROJ.1","PROJ.2","PROJ.3","PVIC.1","PVIC.2","PVIC.3","RED.1","RED.2","RED.3","SOMB.1","SOMB.2","SOMB.3","STAFE.1","STAFE.2","STAFE.3","SUAR.1","SUAR.2","SUAR.3","TOR.1","TOR.2","TOR.3"
"ASV_29",0,0,0,0,0,0,18,0,0,11,0,0,0,0,59,0,0,335,0,0,0,0,0,0,0,0,0,589,275,2153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27675,776,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_30",0,0,0,46,49,0,171,0,0,17,24,0,0,0,0,0,0,0,0,0,0,0,122,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4055,1924,159,0,0,0,0,0,0,1857,3631,17071,0,0,0,0,0,0,389,0,0
"ASV_31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29779,135,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_32",0,0,0,0,0,0,32,0,0,0,0,0,560,0,0,0,183,0,20368,531,111,0,0,0,0,0,0,0,0,0,240,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,105,0,0,0,136,6095,419,0,0,0,0,0,0
"ASV_33",98,318,210,8852,364,222,333,458,240,126,113,7,236,103,210,0,130,145,786,134,38,344,638,145,392,1790,364,757,31,0,125,48,25,251,271,1197,0,0,31,250,417,70,443,2466,127,1814,75,255,211,0,196,0,224,73,0,0,0,0,0,87,0,0,0,431,1186,91,0,913,154
"ASV_34",6534,3908,5569,0,0,0,0,0,0,170,177,0,0,0,0,0,0,0,0,0,0,0,0,0,736,3083,0,0,63,0,0,0,0,0,267,371,0,0,0,0,0,0,1707,4150,326,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_35",0,0,0,0,0,64,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,289,29,1557,534,247,0,4,0,0,0,0,50,81,679,0,0,0,71,5,209,782,15182,657,0,0,176,0,0,0,613,0,4089,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_37",153,188,180,62,0,147,388,54,0,0,8,98,0,1205,0,0,0,56,404,243,365,1067,0,0,122,154,243,0,0,0,0,0,7,0,0,64,0,0,0,1245,956,0,0,237,835,151,1044,45,10034,7,0,0,0,0,57,0,161,0,0,1326,252,0,0,0,0,0,0,321,442
"ASV_38",0,131,0,0,40,0,0,0,44,0,0,67,0,0,11,0,672,0,70,5,0,0,33,0,0,245,13,0,156,120,26,0,15,0,0,248,214,0,0,262,5,0,0,0,17,219,0,0,0,0,0,26,0,0,1260,14897,746,113,263,0,0,0,52,0,166,0,310,467,765
"ASV_40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20485,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18095,0,0,0,0,0,0,0,0,0,0,0,0,0
