"","BAR.1","BAR.2","BAR.3","CDOU.2","CDOU.3","CDOU1.REDO.U","CHAM.1","CHAM.2","CHAM.3","CMAR.1","CMAR.2","CMAR.3","CORA.1","CORA.2","CORA.3","CUEV.1","CUEV.2","CUEV.3","DAPH.1","DAPH.2","DAPH.3","EGAS.1","EGAS.2","EGAS.3","ELI.1","ELI.2","ELI.3","GARD.1","GARD.2","GARD.3","PCAL.1","PCAL.2","PCAL.3","PESP.1","PESP.2","PESP.3","PIN.1","PIN.2","PIN.3","PLAZ.1","PLAZ.2","PLAZ.3","PMAN.1","PMAN.2","PMAN.3","PMOR.1","PMOR.2","PMOR.3","PROJ.1","PROJ.2","PROJ.3","PVIC.1","PVIC.2","PVIC.3","RED.1","RED.2","RED.3","SOMB.1","SOMB.2","SOMB.3","STAFE.1","STAFE.2","STAFE.3","SUAR.1","SUAR.2","SUAR.3","TOR.1","TOR.2","TOR.3"
"ASV_33",0,152,0,0,0,0,0,116,114,0,0,986,366,21550,2964,0,0,406,0,0,0,0,0,0,42,120,33,0,0,1962,927,1565,191,0,0,355,3271,2255,1009,124,70,155,3901,0,0,0,0,3302,0,551,0,0,593,211,0,11,0,1385,1174,0,160,88,598,0,0,0,0,0,0
"ASV_34",807,393,144,191,346,47,3212,1546,1276,0,0,0,36,200,295,8079,525,2571,216,1685,1037,0,506,0,0,0,0,0,563,0,187,2045,695,0,0,16,116,95,412,1473,980,2211,1328,0,58,0,0,0,840,3,534,0,1136,322,5689,235,2895,195,0,42,0,67,383,0,0,2085,0,1318,1108
"ASV_35",0,0,0,3230,3680,142,814,0,397,82,143,115,65,1355,593,1095,1184,0,0,0,0,0,754,399,73,123,0,0,0,0,648,746,324,54,500,1363,0,0,4,195,2408,4627,0,0,0,873,0,313,138,0,0,4746,4030,5239,7677,132,376,0,0,0,0,0,0,0,206,0,0,0,905
"ASV_36",4,0,0,194,211,79,2923,1658,1797,130,730,139,74,0,0,1700,1923,343,0,0,0,5122,19069,0,0,121,0,252,0,0,75,407,0,0,0,225,0,0,0,302,453,964,1036,16,0,0,0,1154,0,527,0,454,451,0,0,0,0,0,471,0,0,116,0,1060,516,0,1149,2115,311
"ASV_37",2380,1636,1397,691,3879,439,2437,4687,3512,222,785,112,0,330,0,2648,1118,1235,0,40,0,132,0,0,53,368,0,184,0,0,167,336,0,74,0,3452,0,0,27,140,112,3232,5,58,784,0,2515,1036,0,0,270,762,0,1545,1309,108,1089,0,622,219,101,0,0,0,0,117,0,0,0
"ASV_38",757,476,722,14877,896,4935,2169,1425,3353,0,0,0,22,44,346,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,607,649,0,0,1950,0,0,118,0,192,563,521,50,775,0,0,5571,0,0,29,0,0,199,0,0,0,0,0,0,0,0,0,0,0,236,3521,0,900
"ASV_39",220,2109,0,81,897,26,506,594,500,925,2172,684,0,0,276,2074,0,756,42,692,391,2719,211,0,0,112,126,892,558,282,2753,831,290,99,4510,353,248,701,83,5,1324,391,71,0,0,1479,661,317,0,657,519,0,0,176,38,0,0,223,946,197,0,0,203,0,534,1900,0,4855,360
"ASV_40",747,3742,0,1062,929,0,2237,992,1349,0,0,0,0,0,0,661,432,0,0,0,0,639,300,0,0,0,0,0,0,259,0,1305,3822,0,0,0,0,0,0,0,0,0,509,0,485,1073,1080,757,0,0,0,258,431,1430,0,0,0,230,1016,0,0,0,0,0,0,0,7435,3608,1647
"ASV_41",0,0,0,269,944,0,0,0,0,288,52,185,0,0,0,0,0,0,0,0,0,519,493,542,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,6020,4775,263,0,0,0,0,0,0,3335,10395,13304,0,0,0,0,0,0,0,0,0
"ASV_42",740,845,1833,111,51,0,0,60,0,758,1192,9411,4,12,0,5271,1110,490,40,292,1632,234,283,1554,155,248,100,0,125,153,1235,1852,79,205,269,837,191,603,154,0,341,356,1822,50,435,0,0,0,940,198,633,0,215,230,390,11,69,836,566,253,716,75,601,0,313,0,0,264,201
