"","BAR.1","BAR.2","BAR.3","CDOU.2","CDOU.3","CDOU1.REDO.U","CHAM.1","CHAM.2","CHAM.3","CMAR.1","CMAR.2","CMAR.3","CORA.1","CORA.2","CORA.3","CUEV.1","CUEV.2","CUEV.3","DAPH.1","DAPH.2","DAPH.3","EGAS.1","EGAS.2","EGAS.3","ELI.1","ELI.2","ELI.3","GARD.1","GARD.2","GARD.3","PCAL.1","PCAL.2","PCAL.3","PESP.1","PESP.2","PESP.3","PIN.1","PIN.2","PIN.3","PLAZ.1","PLAZ.2","PLAZ.3","PMAN.1","PMAN.2","PMAN.3","PMOR.1","PMOR.2","PMOR.3","PROJ.1","PROJ.2","PROJ.3","PVIC.1","PVIC.2","PVIC.3","RED.1","RED.2","RED.3","SOMB.1","SOMB.2","SOMB.3","STAFE.1","STAFE.2","STAFE.3","SUAR.1","SUAR.2","SUAR.3","TOR.1","TOR.2","TOR.3"
"ASV_531",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_536",0,0,0,0,0,0,0,0,0,0,0,0,34,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_54",0,2296,100,130,92,35,0,0,243,0,0,0,38,0,0,0,0,313,0,47,27,0,545,0,19,73,0,0,0,0,0,0,3877,0,0,492,148,0,28,258,223,0,0,0,0,406,615,583,0,0,0,0,212,0,2551,472,4729,706,0,339,0,0,144,0,338,0,0,4836,6625
"ASV_548",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_55",0,0,121,0,306,0,393,516,201,0,695,235,0,231,0,2778,0,1456,0,44,0,1655,171,0,0,0,0,340,0,455,96,427,553,54,675,98,178,66,156,1840,1074,2036,0,0,94,754,0,544,475,481,470,0,0,211,99,0,0,0,1901,0,726,0,827,842,826,991,1457,2576,0
"ASV_551",0,0,0,18,38,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,100,35,50,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_552",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_56",222,868,1262,1158,4032,424,735,143,112,118,0,60,442,1360,0,1036,0,1076,38,0,0,0,0,0,69,0,0,1153,0,1877,106,0,0,100,0,472,132,647,108,807,880,662,143,119,420,0,0,399,162,499,138,147,0,0,373,0,570,246,608,248,0,0,102,0,490,2894,942,0,0
"ASV_567",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_57",0,342,310,589,915,63,5136,2619,2736,0,0,116,0,258,0,2907,0,0,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,0,63,177,94,0,0,0,2853,438,679,620,24,678,0,5039,1270,0,0,39,754,193,0,0,0,0,0,0,0,0,0,131,0,0,1256,0,1962,353
